nyy	1	0
tor	1	0
bos	0	1
tb	0	1
bal	0	2
min	2	0
cle	1	0
kc	1	0
cws	0	1
det	0	1
ana	2	0
sea	2	0
oak	0	2
tex	0	2
fla	2	0
nym	2	0
atl	1	0
phi	0	1
was	0	2
mil	2	0
pit	2	0
cin	1	0
chc	0	1
hou	0	2
stl	0	2
sd	1	0
ari	1	1
col	1	1
sf	0	1
la	0	2
